property_type,neighbourhood,estimated_job_size_sqft,requested_timeline,referral_source,homeowner_status,preferred_contact,lead_capture_weather,distance_to_queens_km,customer_age_bracket,has_pets,lead_weekday,lead_month_sin,lead_month_cos
Detached,Strathcona Park,1366.0,ASAP,Door-to-Door,Own,Phone Call,Snow,2.72,45-54,False,Sunday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,511.0,1 month,Facebook Ads,Own,Phone Call,Rain,2.1,35-44,False,Friday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,387.0,1-2 weeks,Door-to-Door,Rent,Email,Snow,3.53,55-64,False,Thursday,-2.4492935982947064e-16,1.0
Semi-Detached,West End,1903.0,1-2 weeks,Facebook Ads,Own,SMS,Sunny,3.68,65+,False,Wednesday,0.49999999999999994,0.8660254037844387
Detached,West End,1423.0,ASAP,Facebook Ads,Own,Phone Call,Rain,6.43,55-64,True,Tuesday,0.8660254037844386,0.5000000000000001
Apartment,Calvin Park,507.0,ASAP,Word of Mouth/Referral,Rent,Email,Rain,4.39,25-34,True,Thursday,-2.4492935982947064e-16,1.0
Apartment,West End,883.0,ASAP,Door-to-Door,Own,SMS,Sunny,1.63,25-34,False,Friday,-2.4492935982947064e-16,1.0
Semi-Detached,Sydenham Ward,875.0,Flexible,Lawn Signs,Own,Email,Sunny,1.87,25-34,False,Monday,-2.4492935982947064e-16,1.0
Townhouse,Portsmouth Village,924.0,1-2 weeks,Lawn Signs,Own,Phone Call,Sunny,5.53,45-54,False,Friday,-2.4492935982947064e-16,1.0
Apartment,West End,204.0,1-2 weeks,Lawn Signs,Own,Phone Call,Sunny,3.44,18-24,False,Friday,-2.4492935982947064e-16,1.0
Detached,West End,2963.0,1 month,Door-to-Door,Rent,SMS,Sunny,5.61,45-54,False,Sunday,0.8660254037844386,0.5000000000000001
Detached,Sydenham Ward,2503.0,ASAP,Facebook Ads,Recently Purchased,Email,Windy,3.75,45-54,True,Saturday,0.8660254037844386,0.5000000000000001
Townhouse,Strathcona Park,982.0,1 month,Facebook Ads,Own,Phone Call,Cloudy,4.66,65+,True,Monday,0.49999999999999994,0.8660254037844387
Townhouse,Downtown,998.0,1-2 weeks,Door-to-Door,Own,Email,Cloudy,2.94,45-54,True,Monday,0.49999999999999994,0.8660254037844387
Semi-Detached,Calvin Park,1731.0,Flexible,Lawn Signs,Own,SMS,Sunny,5.36,65+,False,Sunday,1.0,6.123233995736766e-17
Apartment,Downtown,583.0,1 month,Facebook Ads,Recently Purchased,Email,Windy,2.43,18-24,True,Monday,-2.4492935982947064e-16,1.0
Detached,Portsmouth Village,1699.0,1-2 weeks,Door-to-Door,Own,Phone Call,Snow,5.61,55-64,True,Saturday,-2.4492935982947064e-16,1.0
Townhouse,West End,998.0,ASAP,Facebook Ads,Own,Email,Sunny,5.08,65+,True,Tuesday,0.49999999999999994,0.8660254037844387
Townhouse,West End,1375.0,1 month,Door-to-Door,Own,Phone Call,Sunny,6.09,18-24,False,Sunday,0.49999999999999994,0.8660254037844387
Townhouse,West End,987.0,Flexible,Facebook Ads,Own,Email,Rain,2.54,25-34,False,Saturday,-2.4492935982947064e-16,1.0
Townhouse,Calvin Park,998.0,1 month,Door-to-Door,Rent,Phone Call,Sunny,4.07,35-44,False,Sunday,-2.4492935982947064e-16,1.0
Detached,Sydenham Ward,3174.0,Flexible,Lawn Signs,Recently Purchased,SMS,Cloudy,6.41,18-24,False,Tuesday,0.8660254037844386,0.5000000000000001
Apartment,West End,669.0,ASAP,Word of Mouth/Referral,Own,Phone Call,Sunny,1.5,65+,False,Sunday,0.49999999999999994,0.8660254037844387
Semi-Detached,Calvin Park,1268.0,1 month,Facebook Ads,Recently Purchased,Phone Call,Sunny,2.84,35-44,False,Sunday,-2.4492935982947064e-16,1.0
Townhouse,West End,1426.0,ASAP,Lawn Signs,Recently Purchased,Phone Call,Rain,4.64,45-54,False,Tuesday,1.0,6.123233995736766e-17
Townhouse,Portsmouth Village,780.0,1 month,Lawn Signs,Rent,SMS,Rain,5.6,18-24,False,Friday,-2.4492935982947064e-16,1.0
Apartment,Calvin Park,564.0,1-2 weeks,Door-to-Door,Rent,Email,Rain,3.96,45-54,True,Friday,-2.4492935982947064e-16,1.0
Detached,West End,1816.0,1-2 weeks,Word of Mouth/Referral,Own,SMS,Sunny,3.58,55-64,True,Sunday,1.0,6.123233995736766e-17
Apartment,Downtown,882.0,1-2 weeks,Facebook Ads,Rent,SMS,Cloudy,1.24,25-34,False,Tuesday,0.8660254037844386,0.5000000000000001
Apartment,Strathcona Park,575.0,Flexible,Word of Mouth/Referral,Own,SMS,Windy,3.18,35-44,False,Wednesday,0.49999999999999994,0.8660254037844387
Detached,Downtown,1458.0,Flexible,Facebook Ads,Own,Phone Call,Windy,0.2,65+,False,Saturday,0.49999999999999994,0.8660254037844387
Apartment,Strathcona Park,308.0,ASAP,Facebook Ads,Own,Email,Sunny,4.85,25-34,False,Wednesday,0.8660254037844386,0.5000000000000001
Townhouse,Portsmouth Village,1189.0,ASAP,Facebook Ads,Own,SMS,Sunny,7.32,55-64,False,Thursday,-2.4492935982947064e-16,1.0
Semi-Detached,Downtown,1566.0,1 month,Facebook Ads,Own,Phone Call,Sunny,3.72,45-54,True,Sunday,0.49999999999999994,0.8660254037844387
Detached,Portsmouth Village,2453.0,1 month,Lawn Signs,Own,Email,Cloudy,1.21,45-54,False,Monday,0.8660254037844386,0.5000000000000001
Townhouse,Sydenham Ward,943.0,1 month,Door-to-Door,Own,Email,Cloudy,0.2,18-24,False,Friday,0.8660254037844386,0.5000000000000001
Apartment,West End,483.0,1-2 weeks,Door-to-Door,Rent,Email,Sunny,4.48,35-44,True,Thursday,0.8660254037844386,0.5000000000000001
Apartment,Downtown,388.0,ASAP,Word of Mouth/Referral,Own,Email,Rain,4.13,55-64,False,Sunday,-2.4492935982947064e-16,1.0
Detached,Sydenham Ward,2863.0,1 month,Door-to-Door,Own,Phone Call,Cloudy,3.55,25-34,True,Monday,0.49999999999999994,0.8660254037844387
Apartment,Sydenham Ward,856.0,1 month,Facebook Ads,Rent,Phone Call,Sunny,1.29,45-54,False,Friday,-2.4492935982947064e-16,1.0
Detached,Calvin Park,2866.0,ASAP,Lawn Signs,Own,SMS,Sunny,4.65,65+,False,Saturday,0.49999999999999994,0.8660254037844387
Apartment,West End,612.0,1-2 weeks,Lawn Signs,Recently Purchased,Phone Call,Rain,4.22,55-64,True,Friday,0.49999999999999994,0.8660254037844387
Semi-Detached,Portsmouth Village,1353.0,1-2 weeks,Door-to-Door,Own,Phone Call,Sunny,6.12,55-64,False,Thursday,-2.4492935982947064e-16,1.0
Apartment,West End,1026.0,Flexible,Lawn Signs,Own,SMS,Sunny,4.43,45-54,False,Wednesday,-2.4492935982947064e-16,1.0
Heritage Home,West End,2094.0,1 month,Lawn Signs,Rent,SMS,Windy,2.35,18-24,False,Sunday,-2.4492935982947064e-16,1.0
Apartment,West End,929.0,1-2 weeks,Facebook Ads,Own,SMS,Snow,4.19,35-44,False,Sunday,-2.4492935982947064e-16,1.0
Townhouse,West End,1912.0,1-2 weeks,Door-to-Door,Own,Email,Sunny,4.29,35-44,True,Saturday,-2.4492935982947064e-16,1.0
Detached,Downtown,1943.0,ASAP,Door-to-Door,Own,Phone Call,Windy,3.4,25-34,True,Friday,-2.4492935982947064e-16,1.0
Semi-Detached,Sydenham Ward,1745.0,ASAP,Facebook Ads,Own,Email,Rain,2.96,45-54,False,Monday,-2.4492935982947064e-16,1.0
Detached,West End,1890.0,Flexible,Facebook Ads,Rent,SMS,Sunny,1.43,65+,False,Thursday,0.8660254037844386,0.5000000000000001
Detached,Downtown,1603.0,1-2 weeks,Door-to-Door,Own,SMS,Rain,4.19,55-64,False,Saturday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,651.0,ASAP,Facebook Ads,Own,Phone Call,Windy,5.46,18-24,False,Monday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,500.0,1-2 weeks,Facebook Ads,Own,Email,Sunny,2.43,55-64,True,Thursday,0.8660254037844386,0.5000000000000001
Semi-Detached,Calvin Park,1005.0,ASAP,Lawn Signs,Own,Email,Sunny,2.72,18-24,False,Monday,1.0,6.123233995736766e-17
Apartment,West End,563.0,Flexible,Facebook Ads,Own,SMS,Snow,1.0,25-34,True,Monday,-2.4492935982947064e-16,1.0
Apartment,Downtown,748.0,1-2 weeks,Door-to-Door,Own,SMS,Windy,1.71,65+,True,Wednesday,0.49999999999999994,0.8660254037844387
Apartment,Downtown,591.0,1-2 weeks,Lawn Signs,Recently Purchased,SMS,Sunny,3.15,65+,False,Sunday,0.49999999999999994,0.8660254037844387
Townhouse,Calvin Park,843.0,1 month,Lawn Signs,Own,Email,Rain,4.52,35-44,False,Wednesday,0.49999999999999994,0.8660254037844387
Apartment,West End,1189.0,ASAP,Word of Mouth/Referral,Recently Purchased,Phone Call,Cloudy,1.24,35-44,False,Friday,0.49999999999999994,0.8660254037844387
Townhouse,Strathcona Park,879.0,1-2 weeks,Door-to-Door,Own,Email,Sunny,1.27,25-34,True,Monday,0.49999999999999994,0.8660254037844387
Townhouse,Portsmouth Village,1428.0,1-2 weeks,Door-to-Door,Own,SMS,Snow,1.77,25-34,False,Sunday,0.8660254037844386,0.5000000000000001
Semi-Detached,Strathcona Park,1332.0,ASAP,Lawn Signs,Own,Email,Rain,2.37,45-54,False,Saturday,0.49999999999999994,0.8660254037844387
Detached,Portsmouth Village,948.0,1 month,Facebook Ads,Rent,Email,Snow,3.52,25-34,False,Monday,-2.4492935982947064e-16,1.0
Semi-Detached,Calvin Park,933.0,ASAP,Door-to-Door,Own,Email,Cloudy,2.22,45-54,False,Friday,0.8660254037844386,0.5000000000000001
Semi-Detached,Portsmouth Village,1179.0,1 month,Door-to-Door,Recently Purchased,SMS,Sunny,2.92,45-54,True,Sunday,0.49999999999999994,0.8660254037844387
Semi-Detached,West End,1010.0,Flexible,Lawn Signs,Own,Phone Call,Cloudy,6.27,55-64,False,Friday,0.8660254037844386,0.5000000000000001
Apartment,Calvin Park,590.0,ASAP,Word of Mouth/Referral,Own,Phone Call,Cloudy,0.93,35-44,False,Sunday,0.49999999999999994,0.8660254037844387
Semi-Detached,Strathcona Park,1762.0,ASAP,Word of Mouth/Referral,Rent,Email,Rain,6.75,25-34,False,Sunday,-2.4492935982947064e-16,1.0
Apartment,West End,941.0,1 month,Facebook Ads,Own,SMS,Cloudy,0.2,45-54,True,Thursday,0.8660254037844386,0.5000000000000001
Townhouse,Sydenham Ward,1177.0,ASAP,Facebook Ads,Own,Email,Cloudy,5.12,55-64,False,Tuesday,0.8660254037844386,0.5000000000000001
Detached,Downtown,2362.0,Flexible,Lawn Signs,Own,Email,Rain,5.6,35-44,True,Wednesday,1.0,6.123233995736766e-17
Detached,Downtown,2210.0,1 month,Word of Mouth/Referral,Own,Email,Rain,3.66,55-64,False,Saturday,0.49999999999999994,0.8660254037844387
Townhouse,West End,1349.0,Flexible,Facebook Ads,Own,Phone Call,Cloudy,6.38,55-64,False,Tuesday,-2.4492935982947064e-16,1.0
Heritage Home,West End,2689.0,1-2 weeks,Lawn Signs,Own,Phone Call,Cloudy,4.01,35-44,False,Thursday,0.8660254037844386,0.5000000000000001
Semi-Detached,West End,2159.0,Flexible,Facebook Ads,Recently Purchased,SMS,Sunny,2.2,55-64,False,Tuesday,0.8660254037844386,0.5000000000000001
Detached,Strathcona Park,1827.0,1 month,Facebook Ads,Rent,Phone Call,Windy,5.22,45-54,True,Saturday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,2358.0,ASAP,Door-to-Door,Own,Email,Windy,4.41,18-24,False,Wednesday,0.8660254037844386,0.5000000000000001
Detached,Portsmouth Village,962.0,1 month,Lawn Signs,Rent,SMS,Cloudy,3.71,35-44,False,Tuesday,-2.4492935982947064e-16,1.0
Detached,Downtown,1619.0,1 month,Door-to-Door,Own,Email,Rain,3.46,25-34,False,Thursday,0.8660254037844386,0.5000000000000001
Apartment,Sydenham Ward,606.0,1 month,Door-to-Door,Own,SMS,Sunny,6.36,55-64,False,Wednesday,0.49999999999999994,0.8660254037844387
Heritage Home,West End,3803.0,1 month,Facebook Ads,Own,SMS,Sunny,5.59,65+,False,Friday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,1042.0,ASAP,Lawn Signs,Own,Email,Snow,3.82,25-34,False,Monday,0.8660254037844386,0.5000000000000001
Heritage Home,Sydenham Ward,2803.0,ASAP,Facebook Ads,Own,Phone Call,Rain,3.81,45-54,True,Monday,0.8660254037844386,0.5000000000000001
Townhouse,Strathcona Park,1586.0,ASAP,Word of Mouth/Referral,Own,Phone Call,Cloudy,2.53,45-54,False,Saturday,0.49999999999999994,0.8660254037844387
Detached,Sydenham Ward,2352.0,1 month,Facebook Ads,Rent,Phone Call,Rain,4.5,45-54,True,Sunday,0.49999999999999994,0.8660254037844387
Apartment,Downtown,449.0,1 month,Facebook Ads,Own,Phone Call,Rain,1.89,65+,True,Wednesday,0.8660254037844386,0.5000000000000001
Detached,West End,1732.0,ASAP,Lawn Signs,Recently Purchased,Email,Sunny,0.4,18-24,False,Sunday,0.49999999999999994,0.8660254037844387
Detached,Strathcona Park,791.0,Flexible,Facebook Ads,Own,Phone Call,Rain,5.6,25-34,False,Sunday,1.0,6.123233995736766e-17
Apartment,West End,682.0,1 month,Word of Mouth/Referral,Own,Email,Snow,1.49,55-64,False,Thursday,-2.4492935982947064e-16,1.0
Detached,West End,1674.0,1 month,Facebook Ads,Own,Email,Cloudy,1.83,35-44,True,Friday,0.49999999999999994,0.8660254037844387
Semi-Detached,Calvin Park,1019.0,1 month,Door-to-Door,Own,Phone Call,Sunny,2.49,18-24,False,Thursday,0.49999999999999994,0.8660254037844387
Semi-Detached,Downtown,508.0,1-2 weeks,Door-to-Door,Own,Phone Call,Windy,2.95,45-54,True,Tuesday,0.49999999999999994,0.8660254037844387
Apartment,West End,819.0,ASAP,Door-to-Door,Rent,Phone Call,Cloudy,6.95,35-44,True,Tuesday,0.8660254037844386,0.5000000000000001
Apartment,Downtown,291.0,1 month,Lawn Signs,Own,Email,Snow,4.07,55-64,False,Saturday,0.8660254037844386,0.5000000000000001
Detached,Strathcona Park,1179.0,1 month,Lawn Signs,Own,Phone Call,Sunny,5.23,18-24,False,Wednesday,-2.4492935982947064e-16,1.0
Semi-Detached,Downtown,992.0,Flexible,Door-to-Door,Own,Email,Cloudy,5.17,35-44,False,Sunday,0.8660254037844386,0.5000000000000001
Townhouse,Sydenham Ward,1233.0,ASAP,Lawn Signs,Recently Purchased,Email,Rain,1.51,35-44,True,Saturday,0.49999999999999994,0.8660254037844387
Apartment,Portsmouth Village,319.0,Flexible,Lawn Signs,Own,Phone Call,Rain,4.0,45-54,True,Wednesday,0.8660254037844386,0.5000000000000001
Detached,Strathcona Park,2284.0,1-2 weeks,Word of Mouth/Referral,Own,Phone Call,Cloudy,4.71,35-44,True,Saturday,0.49999999999999994,0.8660254037844387
Townhouse,West End,1344.0,Flexible,Facebook Ads,Own,Email,Sunny,1.76,25-34,False,Saturday,-2.4492935982947064e-16,1.0
Apartment,Downtown,886.0,ASAP,Door-to-Door,Own,Phone Call,Cloudy,1.68,55-64,True,Saturday,0.8660254037844386,0.5000000000000001
Heritage Home,Downtown,2597.0,1-2 weeks,Door-to-Door,Own,Email,Rain,3.17,65+,True,Thursday,0.8660254037844386,0.5000000000000001
Apartment,Calvin Park,701.0,ASAP,Facebook Ads,Own,Phone Call,Cloudy,2.56,55-64,False,Friday,0.49999999999999994,0.8660254037844387
Townhouse,Calvin Park,827.0,ASAP,Lawn Signs,Own,Email,Sunny,4.57,65+,True,Tuesday,-2.4492935982947064e-16,1.0
Detached,Strathcona Park,1706.0,Flexible,Lawn Signs,Recently Purchased,SMS,Rain,2.53,25-34,True,Tuesday,1.0,6.123233995736766e-17
Detached,West End,2641.0,1-2 weeks,Facebook Ads,Own,Email,Cloudy,3.04,25-34,False,Sunday,0.8660254037844386,0.5000000000000001
Apartment,Strathcona Park,443.0,ASAP,Word of Mouth/Referral,Own,Phone Call,Sunny,1.53,25-34,False,Sunday,-2.4492935982947064e-16,1.0
Heritage Home,Portsmouth Village,2542.0,1-2 weeks,Lawn Signs,Recently Purchased,Phone Call,Sunny,1.29,35-44,False,Monday,0.49999999999999994,0.8660254037844387
Detached,Calvin Park,2391.0,1 month,Facebook Ads,Own,Phone Call,Cloudy,6.25,35-44,True,Saturday,0.49999999999999994,0.8660254037844387
Semi-Detached,Calvin Park,1275.0,ASAP,Door-to-Door,Recently Purchased,SMS,Rain,6.0,35-44,True,Wednesday,0.8660254037844386,0.5000000000000001
Apartment,Downtown,1006.0,1 month,Facebook Ads,Own,Phone Call,Cloudy,0.2,45-54,False,Sunday,-2.4492935982947064e-16,1.0
Townhouse,West End,1154.0,1-2 weeks,Word of Mouth/Referral,Own,SMS,Cloudy,3.05,35-44,False,Wednesday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,325.0,1-2 weeks,Facebook Ads,Own,Phone Call,Snow,5.01,18-24,False,Monday,0.8660254037844386,0.5000000000000001
Townhouse,Sydenham Ward,1212.0,ASAP,Lawn Signs,Rent,Phone Call,Sunny,4.39,65+,False,Friday,0.8660254037844386,0.5000000000000001
Detached,Strathcona Park,558.0,Flexible,Facebook Ads,Own,Email,Rain,2.46,25-34,True,Thursday,-2.4492935982947064e-16,1.0
Townhouse,Portsmouth Village,1378.0,ASAP,Facebook Ads,Recently Purchased,SMS,Rain,2.18,45-54,False,Monday,0.49999999999999994,0.8660254037844387
Apartment,Downtown,694.0,1 month,Facebook Ads,Own,Email,Sunny,2.24,45-54,False,Wednesday,0.8660254037844386,0.5000000000000001
Detached,Strathcona Park,2348.0,1-2 weeks,Lawn Signs,Own,Phone Call,Sunny,5.89,25-34,True,Wednesday,0.49999999999999994,0.8660254037844387
Detached,Downtown,2635.0,1 month,Door-to-Door,Own,Email,Cloudy,7.41,55-64,True,Saturday,-2.4492935982947064e-16,1.0
Apartment,Downtown,606.0,1-2 weeks,Facebook Ads,Own,Phone Call,Sunny,3.54,45-54,True,Tuesday,-2.4492935982947064e-16,1.0
Townhouse,Sydenham Ward,1699.0,ASAP,Facebook Ads,Own,Phone Call,Cloudy,0.2,65+,True,Thursday,-2.4492935982947064e-16,1.0
Semi-Detached,West End,1457.0,1-2 weeks,Door-to-Door,Own,SMS,Snow,1.44,35-44,False,Saturday,0.8660254037844386,0.5000000000000001
Semi-Detached,Strathcona Park,1424.0,1 month,Facebook Ads,Own,SMS,Rain,4.98,25-34,True,Friday,0.8660254037844386,0.5000000000000001
Townhouse,Portsmouth Village,892.0,1 month,Facebook Ads,Own,Phone Call,Rain,3.53,55-64,True,Tuesday,0.49999999999999994,0.8660254037844387
Townhouse,Strathcona Park,1282.0,1-2 weeks,Facebook Ads,Rent,Email,Windy,2.96,18-24,False,Tuesday,1.0,6.123233995736766e-17
Townhouse,Strathcona Park,612.0,Flexible,Lawn Signs,Own,Email,Windy,4.24,45-54,True,Friday,0.49999999999999994,0.8660254037844387
Apartment,Calvin Park,788.0,ASAP,Facebook Ads,Rent,SMS,Rain,7.19,18-24,False,Friday,0.49999999999999994,0.8660254037844387
